GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
100287102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)	-2.796	2.434
102725121	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)	-2.832	2.372
113219467	MIR12136	microRNA 12136	-1.869	3.382
8764	TNFRSF14	TNF receptor superfamily member 14	-0.892	2.358
83715	ESPN	espin	-1.676	1.418
8718	TNFRSF25	TNF receptor superfamily member 25	-1.503	1.557
26270	FBXO6	F-box protein 6	1.703	2.241
65018	PINK1	PTEN induced kinase 1	-1.547	1.603
6135	RPL11	ribosomal protein L11	-1.469	2.236
1269	CNR2	cannabinoid receptor 2	-1.447	1.695
1043	CD52	CD52 molecule	-2.444	2.958
55113	XKR8	XK related 8	-1.216	2.176
2035	EPB41	erythrocyte membrane protein band 4.1	-2.251	3.348
65108	MARCKSL1	MARCKS like 1	-1.303	2.249
83931	STK40	serine/threonine kinase 40	-0.852	1.458
4520	MTF1	metal regulatory transcription factor 1	1.287	2.19
4904	YBX1	Y-box binding protein 1	-1.751	2.37
6513	SLC2A1	solute carrier family 2 member 1	-0.964	1.373
107984947	MED8-AS1	MED8 antisense RNA 1	0.736	1.535
10158	PDZK1IP1	PDZK1 interacting protein 1	-3.761	2.889
4774	NFIA	nuclear factor I A	-2.172	2.517
84251	SGIP1	SH3GL interacting endocytic adaptor 1	-6.601	1.451
91624	NEXN	nexilin F-actin binding protein	1.679	2.464
6125	RPL5	ribosomal protein L5	-2.031	2.37
148534	TLCD4	TLC domain containing 4	-2.576	3.276
271	AMPD2	adenosine monophosphate deaminase 2	-1.696	3.204
140	ADORA3	adenosine A3 receptor	-2.202	1.613
105378916	LINC01765	long intergenic non-protein coding RNA 1765	-6.824	2.375
338391	H2BP2	H2B histone pseudogene 2	2.127	1.321
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	2.401	1.755
8799	PEX11B	peroxisomal biogenesis factor 11 beta	-1.065	1.806
10628	TXNIP	thioredoxin interacting protein	-0.814	3.241
440689	H2BC18	H2B clustered histone 18	2.034	1.477
8370	H4C14	H4 clustered histone 14	2.066	2.89
8337	H2AC18	H2A clustered histone 18	1.984	3.383
723790	H2AC19	H2A clustered histone 19	1.981	3.133
112268238	LOC112268238	replaced by ID 554313	1.573	4.471
554313	H4C15	H4 clustered histone 15	2.237	3.241
8349	H2BC21	H2B clustered histone 21	1.634	1.999
